全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結標記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
434337,MASOAEDK0015,南阿蘇村,白水放課後児童クラブ（旧白水小）,ハクスイホウカゴジドウクラブ,,434337,,熊本県阿蘇郡南阿蘇村吉田1499番地,熊本県,南阿蘇村,吉田,1499番地,,32.826818,131.081443,階数,1,教室B,,,,,,,,,月火水木金,15:00,18:00,2箇所設置、時間は冬休み、夏休み期間など変動あり。,,,,,,,,
434337,MASOAEDK0016,南阿蘇村,はくすい保育園,ハクスイホイクエン,,434337,,熊本県阿蘇郡南阿蘇村吉田1008番地,熊本県,南阿蘇村,吉田,1008番地,,32.827106,131.072932,階数,1,玄関突き当たりの壁,0967629041,,,,,,,,月火水木金土,07:00,18:00,,,,,,,,,
434337,MASOAEDK0017,南阿蘇村,白水体育館,ハクスイタイイクカン,,434337,,熊本県阿蘇郡南阿蘇村吉田1007番地1,熊本県,南阿蘇村,吉田,1007番地1,,32.826935,131.072863,階数,1,ロビー,,,,,,,,,月火水木金土日,08:30,22:00,イベント等で施設利用時のみ。鍵が必要。,,,,,,,,
434337,MASOAEDK0018,南阿蘇村,南阿蘇村福祉センター,ミナミアソムラフクシセンター,,434337,,熊本県阿蘇郡南阿蘇村吉田565番地1,熊本県,南阿蘇村,吉田,565番地1,,32.820345,131.071530,階数,1,玄関,,,,,,,,,月火水木金,08:30,17:15,,,,,,,,,
434337,MASOAEDK0019,南阿蘇村,南阿蘇中学校第二体育館,ミナミアソチュウガッコウダイニタイイクカン,,434337,,熊本県阿蘇郡南阿蘇村河陽3645番地1,熊本県,南阿蘇村,河陽,3645番地1,,32.858095,131.000885,階数,2,玄関ホール,0967670030,,,,,,,,月火水木金,08:30,17:00,祝日や大型連休は利用不可。ただし、イベント等で利用時は利用可能。,,,,,,,,
434337,MASOAEDK0020,南阿蘇村,南阿蘇中学校第一体育館,ミナミアソチュウガッコウダイイチタイイクカン,,434337,,熊本県阿蘇郡南阿蘇村河陽3570番地1,熊本県,南阿蘇村,河陽,3570番地1,,32.858792,131.001337,階数,1,玄関下駄箱横,0967670030,,,,,,,,月火水木金,08:30,17:00,祝日や大型連休は利用不可。ただし、イベント等での利用時は利用可能。,,,,,,,,
434337,MASOAEDK0021,南阿蘇村,阿蘇白水温泉「瑠璃」,アソハクスイオンセンルリ,,434337,,熊本県阿蘇郡南阿蘇村一関1260番地1,熊本県,南阿蘇村,一関,1260番地1,,32.835303,131.069401,階数,1,1階事務室（受付）,0967629999,,,,,,,,月火水木金土日,10:30,22:00,第四水曜日定休日,,,,,,,,
434337,MASOAEDK0022,南阿蘇村,南阿蘇中学校,ミナミアソチュウガッコウ,,434337,,熊本県阿蘇郡南阿蘇村河陽3565番地,熊本県,南阿蘇村,河陽,3565番地,,32.857968,131.001843,階数,2,職員玄関,0967670030,,,,,,,,月火水木金,08:30,17:00,祝日や大型連休は利用不可,,,,,,,,
434337,MASOAEDK0023,南阿蘇村,南阿蘇西学童クラブ,ミナミアソニシジドウクラブ,,434337,,熊本県阿蘇郡南阿蘇村河陽2993番地,熊本県,南阿蘇村,河陽,2993番地,,32.848665,131.012389,階数,1,入口下駄箱,0967671055,,,,,,,,月火水木金土,07:30,18:30,祝日、大型連休は利用不可,,,,,,,,
434337,MASOAEDK0024,南阿蘇村,南阿蘇西小学校,ミナミアソニシショウガッコウ,,434337,,熊本県阿蘇郡南阿蘇村河陽2987番地,熊本県,南阿蘇村,河陽,2987番地,,32.848963,131.011428,階数,1,職員玄関,0967670021,,,,,,,,月火水木金,08:00,17:00,,,,,,,,,
434337,MASOAEDK0025,南阿蘇村,南阿蘇村役場,ミナミアソムラヤクバ,,434337,,熊本県阿蘇郡南阿蘇村河陽1705番地1,熊本県,南阿蘇村,河陽,1705番地1,,32.845099,131.017687,階数,1,健康推進課窓口横,0967671111,,,,,,,,月火水木金,08:30,17:15,宿日直がいるため、緊急時であれば休日・祝日・大型連休・年末年始でもAEDは利用可能。,,,,,,,,
434337,MASOAEDK0026,南阿蘇村,南阿蘇村役場,ミナミアソムラヤクバ,,434337,,熊本県阿蘇郡南阿蘇村河陽1705番地1,熊本県,南阿蘇村,河陽,1705番地1,,32.845055,131.017590,階数,2,2階ホール,0967671111,,,,,,,,月火水木金,08:30,18:00,宿日直がいるため、緊急時であれば休日・祝日・大型連休・年末年始でもAEDは利用可能。,,,,,,,,
