全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
293431,14,奈良県生駒郡三郷町,三郷中学校②,サンゴウチュウガッコウニ,,,,奈良県生駒郡三郷町立野北1-3-1,,,,,,34.59858,135.69347,,,1階昇降口,0745-32-0333,,,,,,,三郷町,月火水木金,08:30,17:15,年末年始は利用不可,有,,,,,,,
293431,15,奈良県生駒郡三郷町,三郷中学校③,サンゴウチュウガッコウサン,,,,奈良県生駒郡三郷町立野北1-3-1,,,,,,34.59858,135.69347,,,教室棟3階（廊下中央）,0745-32-0333,,,,,,,三郷町,月火水木金,08:30,17:15,年末年始は利用不可,有,,,,,,,
293431,16,奈良県生駒郡三郷町,給食センター,キュウショクセンター,,,,奈良県生駒郡三郷町大字勢野5020-1,,,,,,34.61079,135.69476,,,1階事務室,0745-32-0351,,,,,,,三郷町,月火水木金,08:30,17:15,年末年始は利用不可,有,,,,,,,
293431,17,奈良県生駒郡三郷町,図書館,トショカン,,,,奈良県生駒郡三郷町勢野西1-4-4,,,,,,34.60108,135.69416,,,2階事務室,0745-33-3030,,,,,,,三郷町,月火木金土,09:30,17:00,年末年始は利用不可,有,,,,,,,
293431,18,奈良県生駒郡三郷町,文化センター,ブンカセンター,,,,奈良県生駒郡三郷町勢野西1-2-2,,,,,,34.60122,135.69647,,,1階事務室,0745-72-4461,,,,,,,三郷町,月火水木金土日,09:00,21:00,第4日曜日及び年末年始は利用不可,有,,,,,,,
293431,19,奈良県生駒郡三郷町,竜田運動公園,タツタウンドウコウエン,,,,奈良県生駒郡三郷町立野北2-31-2,,,,,,34.59379,135.68491,,,管理棟（2階）,0745-73-4107,,,,,,,三郷町,月火水木金土日,08:30,17:00,年末年始は利用不可,有,,,,,,,
293431,20,奈良県生駒郡三郷町,中央公園多目的広場,チュウオウコウエンタモクテキヒロバ,,,,奈良県生駒郡三郷町勢野東1-1-1,,,,,,34.60238,135.69928,,,管理棟（1階）,0745-32-2992,,,,,,,三郷町,月火水木金土日,08:30,18:00,年末年始は利用不可,有,,,,,,,
293431,21,奈良県生駒郡三郷町,奈良サテライトオフィス35,ナラサテライトオフィスサンゴウ,,,,奈良県生駒郡三郷町立野南2-10-17,,,,,,34.58918,135.68739,,,JR三郷駅前駐輪場3階（入口）,0745-43-5544,,,,,,,三郷町,月火水木金土,08:30,20:30,年末年始は利用不可,有,,,,,,,
293431,22,奈良県生駒郡三郷町,FSS35サテライトオフィス,エフエスエスサンゴウサテライトオフィス,,,,奈良県生駒郡三郷町立野北３丁目12-10,,,,,,34.59537,135.67986,,,１階受付,090-2060-5012,,,,,,,三郷町,月火水木金土,08:30,20:30,年末年始は利用不可,有,,,,,,,
293431,23,奈良県生駒郡三郷町,FSS35スポーツパーク,エフエスエスサンゴウスポーツパーク,,,,奈良県生駒郡三郷町立野北３丁目12-10,,,,,,34.59432,135.67996,,,受付,070-2404-9167,,,,,,,三郷町,月火水木金土日,09:00,21:00,年末年始は利用不可,有,,,,,,,
293431,24,奈良県生駒郡三郷町,FSS35スポーツアリーナ,エフエスエスサンゴウスポーツアリーナ,,,,奈良県生駒郡三郷町立野北３丁目12-3,,,,,,34.59393,135.67909,,,受付,080-5243-5706,,,,,,,三郷町,月火水木金土日,09:00,21:00,年末年始は利用不可,有,,,,,,,
293431,25,奈良県生駒郡三郷町,三郷小学校放課後児童クラブ,サンゴウショウガッコウホウカゴジドウクラブ,,,,奈良県生駒郡三郷町勢野西1-6-1,,,,,,34.60055,135.69308,,,1階放課後児童クラブ1組,0745-73-3900,,,,,,,三郷町,月火水木金,14:00,19:00,年末年始は利用不可,有,,,,,,,
293431,26,奈良県生駒郡三郷町,三郷北小学校放課後児童クラブ,サンゴウキタショウガッコウホウカゴジドウクラブ,,,,奈良県生駒郡三郷町美松ヶ丘西2-11-1,,,,,,34.61169,135.69756,,,旧棟1階職員室,0745-32-5739,,,,,,,三郷町,月火水木金,14:00,19:00,年末年始は利用不可,有,,,,,,,
