全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,利用不可能日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
332089,0000000012,岡山県総社市,総社市役所,,,332089,,岡山県総社市中央1-1-1,岡山県,総社市,中央,1-1-1,,34.672810,133.746531,,,1階玄関案内,(0866)92-8200,,,,,,,,,土日祝日、12/29～1/3,08:30,17:15,,,,,,,,,
332089,0000000013,岡山県総社市,総社市総合福祉センター,,,332089,,岡山県総社市中央1-1-3,岡山県,総社市,中央,1-1-3,,34.672601,133.745984,,,1階中央階段横,(0866)92-8555,,,,,,,,,土日祝日、12/29～1/3,08:30,17:15,,,,,,,,,
332089,0000000014,岡山県総社市,総社市立総社小学校,,,332089,,岡山県総社市総社3-13-1,岡山県,総社市,総社,3-13-1,,34.678662,133.755641,,,1階受付前,(0866)92-0040,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:15,16:45,,,,,,,,,
332089,0000000015,岡山県総社市,総社市立総社東中学校,,,332089,,岡山県総社市井手565,岡山県,総社市,井手,565,,34.673165,133.757405,,,2階職員室前,(0866)92-0073,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:10,16:40,,,,,,,,,
332089,0000000016,岡山県総社市,総社市立総社北小学校,,,332089,,岡山県総社市泉2-2,岡山県,総社市,泉,2-2,,34.688030,133.748052,,,1階職員室内北側ロッカー内,(0866)94-0350,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:00,16:45,,,,,,,,,
332089,0000000017,岡山県総社市,総社市立総社東小学校,,,332089,,岡山県総社市南溝手480,岡山県,総社市,南溝手,480,,34.681806,133.779492,,,1階職員室（南ロッカー上）,(0866)92-4891,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:15,16:45,,,,,,,,,
332089,0000000018,岡山県総社市,総社市立阿曽小学校,,,332089,,岡山県総社市西阿曽207-1,岡山県,総社市,西阿曽,207-1,,34.705190,133.784934,,,1階受付前,(0866)99-9100,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:15,16:45,,,,,,,,,
332089,0000000019,岡山県総社市,総社市立池田小学校,,,332089,,岡山県総社市見延699,岡山県,総社市,見延,699,,34.736412,133.725010,,,1階受付前,(0866)95-8092,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:15,16:45,,,,,,,,,
332089,0000000020,岡山県総社市,総社市北出張所,,,332089,,岡山県総社市見延638,岡山県,総社市,見延,638,,34.736021,133.724840,,,1階トイレ前,(0866)95-8706,,,,,,,,,土日祝日、12/29～1/3,08:30,17:15,,,,,,,,,
332089,0000000021,岡山県総社市,総社市立秦小学校,,,332089,,岡山県総社市秦2815-2,岡山県,総社市,秦,2815-2,,34.698629,133.719660,,,1階職員室入口の棚,(0866)95-8400,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:15,16:45,,,,,,,,,
332089,0000000022,岡山県総社市,総社市立神在小学校,,,332089,,岡山県総社市富原422,岡山県,総社市,富原,422,,34.668543,133.718511,,,1階職員室,(0866)92-4492,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:20,16:50,,,,,,,,,
332089,0000000023,岡山県総社市,総社市立総社中学校,,,332089,,岡山県総社市秦540,岡山県,総社市,秦,540,,34.677628,133.703565,,,2階職員室北東出入口,(0866)92-0936,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:15,16:45,,,,,,,,,
332089,0000000024,岡山県総社市,総社市立総社西小学校,,,332089,,岡山県総社市久代4386-2,岡山県,総社市,久代,4386-2,,34.676870,133.687603,,,1階職員室窓側棚上,(0866)96-0314,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:15,16:45,,,,,,,,,
332089,0000000025,岡山県総社市,総社市消防署西出張所,,,332089,,岡山県総社市久代2635-1,岡山県,総社市,久代,2635-1,,34.673232,133.675715,,,1階事務室,(0866)96-1196,,,,,,,,,出動時,00:00,00:00,,,,,,,,,
332089,0000000026,岡山県総社市,総社市西出張所,,,332089,,岡山県総社市新本7743,岡山県,総社市,新本,7743,,34.664879,133.655355,,,1階玄関ロビ－,(0866)96-0420,,,,,,,,,土日祝日、12/29～1/3,08:30,17:15,,,,,,,,,
332089,0000000027,岡山県総社市,総社市立新本小学校,,,332089,,岡山県総社市新本7288,岡山県,総社市,新本,7288,,34.666494,133.647015,,,1階職員室玄関側棚上,(0866)96-0437,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:15,16:45,,,,,,,,,
332089,0000000028,岡山県総社市,サントピア岡山総社,,,332089,,岡山県総社市秦1215,岡山県,総社市,秦,1215,,34.684389,133.712922,,,1階フロント,(0866)95-8811,,,,,,,,,なし,00:00,00:00,,,,,,,,,
332089,0000000029,岡山県総社市,サンロード吉備路,,,332089,,岡山県総社市三須825-1,岡山県,総社市,三須,825-1,,34.669933,133.770327,,,1階卓球場内（大浴場入口）,(0866)90-0550,,,,,,,,,なし,00:00,00:00,,,,,,,,,
332089,0000000030,岡山県総社市,総社市立山手小学校,,,332089,,岡山県総社市岡谷607-2,岡山県,総社市,岡谷,607-2,,34.657042,133.770902,,,1階職員室,(0866)93-5005,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:15,16:45,,,,,,,,,
332089,0000000031,岡山県総社市,総社市山手出張所,,,332089,,岡山県総社市地頭片山17-1,岡山県,総社市,地頭片山,17-1,,34.660769,133.769227,,,1階受付横,(0866)92-1241,,,,,,,,,土日祝日、12/29～1/3,08:30,17:15,,,,,,,,,
332089,0000000032,岡山県総社市,総社市立清音小学校,,,332089,,岡山県総社市清音軽部666-1,岡山県,総社市,清音軽部,666-1,,34.650445,133.739493,,,1階職員室,(0866)94-0103,,,,,,,,,土日祝日、閉庁、12/29～1/3,08:15,16:45,,,,,,,,,
332089,0000000033,岡山県総社市,総社市清音出張所（清音公民館）,,,332089,,岡山県総社市清音軽部1135,岡山県,総社市,清音軽部,1135,,34.645973,133.738721,,,1階公民館玄関ホール,(0866)94-0111,,,,,,,,,月と重なる祝日、12/29～1/3,08:30,17:15,,,,,,,,,
332089,0000000034,岡山県総社市,総社市山手公民館,,,332089,,岡山県総社市岡谷151-1,岡山県,総社市,岡谷,151-1,,34.660053,133.770416,,,1階玄関ロビ－,(0866)93-1241,,,,,,,,,月曜、12/29～1/3,08:30,21:00,,,,,,,,,
332089,0000000035,岡山県総社市,総社市東公民館,,,332089,,岡山県総社市南溝手477-7,岡山県,総社市,南溝手,477-7,,34.680995,133.781072,,,1階受付前,(0866)93-2995,,,,,,,,,月曜、12/29～1/3,08:30,21:00,,,,,,,,,
332089,0000000036,岡山県総社市,総社市図書館,,,332089,,岡山県総社市中央3-10-113,岡山県,総社市,中央,3-10-113,,34.672071,133.747747,,,1階カウンター付近,(0866)93-4422,,,,,,,,,月曜、祝日、年末年始,09:00,18:00,,,,,,,,,
332089,0000000037,岡山県総社市,総社市武道館,,,332089,,岡山県総社市真壁423-1,岡山県,総社市,真壁,423-1,,34.666330,133.748309,,,1階事務所,(0866)92-6330,,,,,,,,,12/29～1/3,08:30,21:00,,,,,,,,,
332089,0000000038,岡山県総社市,総社警察署,,,332089,,岡山県総社市真壁426-1,岡山県,総社市,真壁,426-1,,34.666035,133.747300,,,1階地域課窓口,(0866)94-0110,,,,,,,,,なし,00:00,00:00,,,,,,,,,
332089,0000000039,岡山県総社市,総社ふれあいセンター,,,332089,,岡山県総社市中央6-6-102,岡山県,総社市,中央,6-6-102,,34.669613,133.750342,,,1階管理人室,(0866)93-4980,,,,,,,,,12/29～1/3,08:30,17:00,,,,,,,,,
332089,0000000040,岡山県総社市,総社市中央公民館（総合文化センター）,,,332089,,岡山県総社市中央3-1-102,岡山県,総社市,中央,3-1-102,,34.672699,133.747833,,,1階管理人室,(0866)92-3491,,,,,,,,,月曜、12/29～1/3,08:30,21:00,,,,,,,,,
332089,0000000041,岡山県総社市,清音福祉センター,,,332089,,岡山県総社市清音軽部1135,岡山県,総社市,清音軽部,1135,,34.646010,133.738259,,,1階事務室前,(0866)92-2400,,,,,,,,,祝日、12/29～1/3,08:30,17:00,,,,,,,,,
332089,0000000042,岡山県総社市,総社北公園,,,332089,,岡山県総社市福井1200,岡山県,総社市,福井,1200,,34.696538,133.746496,,,管理棟事務所,(0866)94-3434,,,,,,,,,12/31～1/3,08:30,21:00,,,,,,,,,
332089,0000000043,岡山県総社市,総社市西公民館,,,332089,,岡山県総社市秦350,岡山県,総社市,秦,350,,34.676723,133.704495,,,1階ホール,(0866)92-0446,,,,,,,,,月曜、12/29～1/3,08:30,17:15,,,,,,,,,
332089,0000000044,岡山県総社市,山手スポーツ広場,,,332089,,岡山県総社市宿1778-1,岡山県,総社市,宿,1778-1,,34.654162,133.781629,,,管理棟事務所,(0866)93-8008,,,,,,,,,12/29～1/3,08:30,21:00,,,,,,,,,
332089,0000000045,岡山県総社市,総社市シルバー人材センター,,,332089,,岡山県総社市門田717-1,岡山県,総社市,門田,717-1,,34.680553,133.743100,,,1階ロビー受付前,(0866)93-9110,,,,,,,,,土日祝日、12/29～1/3,08:30,17:15,,,,,,,,,
332089,0000000046,岡山県総社市,ＪＲ総社駅,,,332089,,岡山県総社市駅前1-1-1,岡山県,総社市,駅前,1-1-1,,34.673429,133.738170,,,2階3・4番乗り場階段付近,(0866)92-0242,,,,,,,,,,05:00,23:00,,,,,,,,,
332089,0000000047,岡山県総社市,岡山県立大学,,,332089,,岡山県総社市窪木111,岡山県,総社市,窪木,111,,34.691430,133.779155,,,本部棟1階西側入口,(0866)94-2111,,,,,,,,,一斉休業日、設置建物、閉館日,08:40,17:15,,,,,,,,,
332089,0000000048,岡山県総社市,総社市消防署昭和出張所,,,332089,,岡山県総社市美袋65-1,岡山県,総社市,美袋,65-1,,34.719849,133.658768,,,1階事務室,(0866)99-1247,,,,,,,,,出動時,00:00,00:00,,,,,,,,,
332089,0000000049,岡山県総社市,ハローワーク総社,,,332089,,岡山県総社市中央3-15-111,岡山県,総社市,中央,3-15-111,,34.670307,133.750156,,,1階所長室,(0866)92-6001,,,,,,,,,土日祝日、12/29～1/3,08:30,17:15,,,,,,,,,
332089,0000000050,岡山県総社市,総社市立総社幼稚園,,,332089,,岡山県総社市総社2-17-15,岡山県,総社市,総社,2-17-15,,34.676043,133.754097,,,1階職員室,(0866)93-4303,,,,,,,,,土日祝日、8/13～8/15、12/29～1/3,08:15,17:00,,,,,,,,,
332089,0000000051,岡山県総社市,総社市立井尻野幼稚園,,,332089,,岡山県総社市井尻野1778-2,岡山県,総社市,井尻野,1778-2,,34.683828,133.735223,,,職員室入口,(0866)92-0609,,,,,,,,,土日祝日、8/13～8/15、12/29～1/3,08:15,17:00,,,,,,,,,
332089,0000000052,岡山県総社市,総社市立総社南幼稚園,,,332089,,岡山県総社市中央3-9-101,岡山県,総社市,中央,3-9-101,,34.671782,133.748356,,,1階職員室東側窓辺,(0866)93-5280,,,,,,,,,土日祝日、8/13～8/15、12/29～1/3,08:15,17:00,,,,,,,,,
332089,0000000053,岡山県総社市,総社市立総社北幼稚園,,,332089,,岡山県総社市泉1-192,岡山県,総社市,泉,1-192,,34.688094,133.750302,,,1階職員室中央キャビネット上,(0866)93-2205,,,,,,,,,土日祝日、8/13～8/15、12/29～1/3,08:30,17:15,,,,,,,,,
332089,0000000054,岡山県総社市,総社市立常盤幼稚園,,,332089,,岡山県総社市駅南1-13-8,岡山県,総社市,駅南,1-13-8,,34.667460,133.738609,,,1階職員室西側入口棚,(0866)92-4408,,,,,,,,,土日祝日、8/13～8/15,08:15,17:00,,,,,,,,,
332089,0000000055,岡山県総社市,総社市立三須幼稚園,,,332089,,岡山県総社市上林303-1,岡山県,総社市,上林,303-1,,34.678703,133.777925,,,1階職員室北側,(0866)92-0426,,,,,,,,,土日祝日、8/13～8/15、12/29～1/3,08:15,17:00,,,,,,,,,
332089,0000000056,岡山県総社市,総社市立服部幼稚園,,,332089,,岡山県総社市窪木885-5,岡山県,総社市,窪木,885-5,,34.684836,133.780441,,,1階職員室,(0866)92-0323,,,,,,,,,土日祝日、8/13～8/15、12/29～1/3,08:15,17:00,,,,,,,,,
332089,0000000057,岡山県総社市,総社市立阿曽幼稚園,,,332089,,岡山県総社市西阿曽141,岡山県,総社市,西阿曽,141,,34.704032,133.785317,,,1階玄関内,(0866)99-9130,,,,,,,,,土日祝日、8/13～8/15、12/29～1/3,08:15,17:00,,,,,,,,,
332089,0000000058,岡山県総社市,総社市立池田幼稚園,,,332089,,岡山県総社市見延640,岡山県,総社市,見延,640,,34.736312,133.723957,,,1階職員室入口,(0866)95-8127,,,,,,,,,土日祝日、8/13～8/15、12/29～1/3,08:15,17:00,,,,,,,,,
332089,0000000059,岡山県総社市,総社市立秦幼稚園,,,332089,,岡山県総社市秦2987,岡山県,総社市,秦,2987,,34.698260,133.720473,,,1階職員室,(0866)95-8930,,,,,,,,,土日祝日、8/13～8/15、12/29～1/3,08:15,17:00,,,,,,,,,
332089,0000000060,岡山県総社市,総社市立神在幼稚園,,,332089,,岡山県総社市富原407-1,岡山県,総社市,富原,407-1,,34.668260,133.718055,,,1階職員室（玄関側）,(0866)93-0687,,,,,,,,,土日祝日、8/13～8/15、12/29～1/3,08:15,17:00,,,,,,,,,
332089,0000000061,岡山県総社市,総社市立久代幼稚園,,,332089,,岡山県総社市久代4584,岡山県,総社市,久代,4584,,34.676076,133.688281,,,1階職員室入口,(0866)96-0423,,,,,,,,,土日祝日、8/13～8/15、12/29～1/3,08:15,17:00,,,,,,,,,
332089,0000000062,岡山県総社市,総社市立山田幼稚園,,,332089,,岡山県総社市山田205-1,岡山県,総社市,山田,205-1,,34.674243,133.661619,,,1階職員室保管庫上,(0866)96-0927,,,,,,,,,土日祝日、8/13～8/15、12/29～1/3,08:15,17:00,,,,,,,,,
332089,0000000063,岡山県総社市,総社市立新本幼稚園,,,332089,,岡山県総社市新本7274,岡山県,総社市,新本,7274,,34.666310,133.646193,,,1階職員室,(0866)96-0928,,,,,,,,,土日祝日、8/13～8/15、12/29～1/3,08:15,17:00,,,,,,,,,
332089,0000000064,岡山県総社市,昭和五つ星学園幼稚園　さくらキャンパス,,,332089,,岡山県総社市美袋245-1,岡山県,総社市,美袋,245-1,,34.719118,133.654419,,,1階職員室南東角,(0866)99-1305,,,,,,,,,土日祝日、8/13～8/15、12/29～1/3,08:15,17:00,,,,,,,,,
332089,0000000066,岡山県総社市,総社市立山手幼稚園,,,332089,,岡山県総社市岡谷627,岡山県,総社市,岡谷,627,,34.656159,133.769972,,,1階職員室,(0866)92-0581,,,,,,,,,土日祝日、8/13～8/15、12/29～1/3,08:15,18:00,,,,,,,,,
332089,0000000067,岡山県総社市,総社市立きよね認定こども園,,,332089,,岡山県総社市清音軽部762,岡山県,総社市,清音軽部,762,,34.650359,133.738379,,,1階職員室,(0866)94-0104,,,,,,,,,土日祝日、8/13～8/15、12/29～1/3,07:00,19:00,,,,,,,,,
332089,0000000068,岡山県総社市,総社市消防本部,,,332089,,岡山県総社市小寺377,岡山県,総社市,小寺,377,,34.682450,133.746594,,,1階受付,(0866)92-8342,,,,,,,,,なし,00:00,00:00,,,,,,,,,
332089,0000000069,岡山県総社市,岡山県立総社高等学校,,,332089,,岡山県総社市総社3-9-1,岡山県,総社市,総社,3-9-1,,34.676420,133.756241,,,管理棟1階事務室北廊下,(0866)93-0891,,,,,,,,,土日祝日,08:20,16:50,,,,,,,,,
332089,0000000070,岡山県総社市,岡山県立総社南高等学校,,,332089,,岡山県総社市三輪626-1,岡山県,総社市,三輪,626-1,,34.662883,133.740531,,,体育館玄関前,(0866)93-6811,,,,,,,,,土日祝日,08:20,16:50,,,,,,,,,
332089,0000000071,岡山県総社市,岡山県立大学,,,332089,,岡山県総社市窪木111,岡山県,総社市,窪木,111,,34.691430,133.779155,,,体育館1階アリーナ入口,(0866)94-2111,,,,,,,,,一斉休業日、設置建物、閉館日,08:30,21:00,休日8:30～17:00利用可能,,,,,,,,
332089,0000000072,岡山県総社市,岡山県立大学,,,332089,,岡山県総社市窪木111,岡山県,総社市,窪木,111,,34.691430,133.779155,,,学生会館1階エントランスホール,(0866)94-2111,,,,,,,,,一斉休業日、設置建物、閉館日,08:40,19:00,,,,,,,,,
332089,0000000073,岡山県総社市,岡山県立大学,,,332089,,岡山県総社市窪木111,岡山県,総社市,窪木,111,,34.691430,133.779155,,,学部共通棟（南）1階ホール,(0866)94-2111,,,,,,,,,一斉休業日、設置建物、閉館日,08:40,17:30,,,,,,,,,
332089,0000000074,岡山県総社市,総社市立総社保育所,,,332089,,岡山県総社市井尻野1717-4,岡山県,総社市,井尻野,1717-4,,34.679956,133.736334,,,1階職員室,(0866)92-3655,,,,,,,,,日祝日、12/29～1/3,07:00,19:00,,,,,,,,,
332089,0000000075,岡山県総社市,総社吉備路文化館,,,332089,,岡山県総社市上林1252,岡山県,総社市,上林,1252,,34.668802,133.787243,,,1階管理人室,(0866)93-2219,,,,,,,,,月曜、12/29～1/3,09:00,17:00,,,,,,,,,
332089,0000000076,岡山県総社市,鬼城山ビジターセンター,,,332089,,岡山県総社市黒尾1101-2,岡山県,総社市,黒尾,1101-2,,34.725766,133.758672,,,展示棟1階ロビ－,(0866)99-8566,,,,,,,,,月曜、12/29～1/3,09:00,17:00,,,,,,,,,
332089,0000000077,岡山県総社市,創価学会総社会館,,,332089,,岡山県総社市中央5-10-101,岡山県,総社市,中央,5-10-101,,34.669549,133.754167,,,1階受付,(0866)93-2622,,,,,,,,,水曜日,10:00,16:00,,,,,,,,,
332089,0000000078,岡山県総社市,吉備自立支援センター（ももぞの学園）,,,332089,,岡山県総社市下林1287-1,岡山県,総社市,下林,1287-1,,34.671865,133.790170,,,1階職員事務所内,(0866)90-0907,,,,,,,,,木曜日,09:00,17:00,,,,,,,,,
332089,0000000079,岡山県総社市,吉備自立支援センター（ケアホーム鬼の城）,,,332089,,岡山県総社市東阿曽354,岡山県,総社市,東阿曽,354,,34.719575,133.794575,,,1階玄関ホール,(0866)99-9712,,,,,,,,,,06:30,9:30,休日、平日　6:30～9:30、15:30～19:30利用可能　,,,,,,,,
332089,0000000080,岡山県総社市,介護老人保健施設ナーシングホーム大樹,,,332089,,岡山県総社市黒尾232,岡山県,総社市,黒尾,232,,34.695321,133.771283,,,1階スタッフステーション,(0866)90-1200,,,,,,,,,なし,00:00,00:00,,,,,,,,,
332089,0000000081,岡山県総社市,就労継続支援Ｂ型事業所まーる,,,332089,,岡山県総社市門田294-4,岡山県,総社市,門田,294-4,,34.676157,133.736590,,,1階事務所内,(0866)95-2285,,,,,,,,,土日祝日,08:30,17:30,,,,,,,,,
332089,0000000082,岡山県総社市,岡山国際ゴルフ倶楽部,,,332089,,岡山県総社市西阿曽1800,岡山県,総社市,西阿曽,1800,,34.712567,133.772118,,,1階フロント横,(0866)99-9311,,,,,,,,,,07:00,17:00,,,,,,,,,
332089,0000000083,岡山県総社市,ＯＳＫスポーツクラブ総社,,,332089,,岡山県総社市門田381,岡山県,総社市,門田,381,,34.677109,133.740523,,,1階受付横,(0866)94-0888,,,,,,,,,火曜,09:00,22:30,休日 9:00～19:00利用可能,,,,,,,,
332089,0000000084,岡山県総社市,ＤＣＭダイキ総社西店,,,332089,,岡山県総社市真壁950-1,岡山県,総社市,真壁,950-1,,34.671213,133.735387,,,1階サービスカウンター,(0866)94-1001,,,,,,,,,1/1、他不定休,09:00,20:00,,,,,,,,,
332089,0000000085,岡山県総社市,ＤＣＭダイキ総社東店,,,332089,,岡山県総社市井手1113-1,岡山県,総社市,井手,1113-1,,34.678290,133.765368,,,1階サービスカウンター,(0866)92-7333,,,,,,,,,1/1、他不定休,09:00,20:00,,,,,,,,,
332089,0000000086,岡山県総社市,むらき歯科医院,,,332089,,岡山県総社市門田364-12,岡山県,総社市,門田,364-12,,34.676940,133.738478,,,1階受付前,(0866)93-9876,,,,,,,,,木・日・祝日,09:00,18:00,,,,,,,,,
332089,0000000087,岡山県総社市,ＪＵＮＯデイサービスセンター吉備路,,,332089,,岡山県総社市宿167,岡山県,総社市,宿,167,,34.666569,133.789590,,,1階玄関フロア,(0866)93-5111,,,,,,,,,12/31～1/3,08:00,18:00,,,,,,,,,
332089,0000000088,岡山県総社市,総社商工会議所,,,332089,,岡山県総社市中央6-9-108,岡山県,総社市,中央,6-9-108,,34.667707,133.749256,,,2階事務所（入口付近）,(0866)92-1122,,,,,,,,,土日祝日、12/29～1/3、特定休日,08:30,17:00,,,,,,,,,
332089,0000000089,岡山県総社市,鬼ノ城ゴルフ倶楽部,,,332089,,岡山県総社市奥坂666,岡山県,総社市,奥坂,666,,34.730552,133.787284,,,クラブハウス1階スタートテラス手前風除,(0866)99-8010,,,,,,,,,7/19、12/31、1/1,07:00,18:00,,,,,,,,,
332089,0000000090,岡山県総社市,山手グリーン歯科医院,,,332089,,岡山県総社市岡谷119-5,岡山県,総社市,岡谷,119-5,,34.661911,133.770082,,,1階診療室内（受付後）,(0866)92-8148,,,,,,,,,水・日・祝日,09:00,18:30,,,,,,,,,
332089,0000000091,岡山県総社市,特別養護老人ホームいずみの杜,,,332089,,岡山県総社市小寺958,岡山県,総社市,小寺,958,,34.690030,133.745263,,,1階ロビー,(0866)90-0005,,,,,,,,,,08:30,17:30,,,,,,,,,
332089,0000000092,岡山県総社市,吉備カントリークラブ,,,332089,,岡山県総社市新本2800-1,岡山県,総社市,新本,2800-1,,34.653728,133.645566,,,1階ロビー,(0866)96-0111,,,,,,,,,1月1日,08:00,17:00,,,,,,,,,
332089,0000000093,岡山県総社市,農マル園芸吉備路農園,,,332089,,岡山県総社市西郡411-1,岡山県,総社市,西郡,411-1,,34.661278,133.763116,,,総合受付内,(0866)94-6755,,,,,,,,,年始休園日,09:00,18:00,,,,,,,,,
332089,0000000094,岡山県総社市,オーバルスポーツコム総社,,,332089,,岡山県総社市総社1008,岡山県,総社市,総社,1008,,34.676404,133.760552,,,1階フロント,(0866)93-1300,,,,,,,,,月末、年末年始、8/13～8/15,10:00,22:30,休日 10:00～18:00利用可能,,,,,,,,
332089,0000000095,岡山県総社市,ＪＵＮＯデイサービスセンター総社,,,332089,,岡山県総社市泉15-44,岡山県,総社市,泉,15-44,,34.695360,133.747107,,,1階静養室,(0866)93-3981,,,,,,,,,12/31～1/3,08:00,18:00,,,,,,,,,
332089,0000000096,岡山県総社市,天満屋ハピータウンリブ総社店,,,332089,,岡山県総社市門田187,岡山県,総社市,門田,187,,34.676704,133.741856,,,1階サービスカウンター,(0866)92-5555,,,,,,,,,,10:00,20:00,,,,,,,,,
332089,0000000098,岡山県総社市,オールスター２５総社店,,,332089,,岡山県総社市中央4-2-111,岡山県,総社市,中央,4-2-111,,34.673265,133.752536,,,1階ホール中央階段脇,(0866)92-1525,,,,,,,,,店休日（未定）,09:00,23:00,,,,,,,,,
332089,0000000099,岡山県総社市,ＪＡ岡山西吉備路支店,,,332089,,岡山県総社市門田85,岡山県,総社市,門田,85,,34.676795,133.746375,,,1階入口ホール,(0866)93-7841,,,,,,,,,土日祝日、年末年始,08:30,17:00,,,,,,,,,
332089,0000000100,岡山県総社市,ＪＡ岡山西総社東支店,,,332089,,岡山県総社市窪木507-1,岡山県,総社市,窪木,507-1,,34.690627,133.782080,,,1階入口ホール,(0866)92-0074,,,,,,,,,土日祝日、年末年始,08:30,17:00,,,,,,,,,
332089,0000000101,岡山県総社市,ＪＡ岡山西池田支店,,,332089,,岡山県総社市見延639-2,岡山県,総社市,見延,639-2,,34.735832,133.724954,,,1階店舗内,(0866)95-8106,,,,,,,,,土日祝日、年末年始,08:30,17:00,,,,,,,,,
332089,0000000102,岡山県総社市,ＪＡ岡山西総社西支店,,,332089,,岡山県総社市久代4700,岡山県,総社市,久代,4700,,34.674607,133.692777,,,1階店舗入口ホール,(0866)96-0410,,,,,,,,,土日祝日、年末年始,08:30,17:00,,,,,,,,,
332089,0000000103,岡山県総社市,ＪＡ岡山西昭和支店,,,332089,,岡山県総社市美袋483-2,岡山県,総社市,美袋,483-2,,34.720716,133.645703,,,1階事務室内,(0866)99-1111,,,,,,,,,土日祝日、年末年始,08:30,17:00,,,,,,,,,
