全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
272141,0000100020,大阪府富田林市,ケアセンターけあぱる,ケアセンターケアパル,,,,富田林市向陽台一丁目4-30,大阪府,富田林市,向陽台一丁目,4-30,,34.506652,135.583053,,,１階入口付近,0721-28-8600,,,,,,,,常時利用可,,,,有,,,,,,,
272141,0000100021,大阪府富田林市,保健センター,ホケンセンター,,,,富田林市向陽台一丁目3-35,大阪府,富田林市,向陽台一丁目,3-35,,34.503518,135.582818,,,玄関,0721-28-5520,,,,,,,,月火水木金,09:00,17:30,土・日・祝・年末年始（12月29日～1月3日）は利用不可,有,,,,,,,
272141,0000100022,大阪府富田林市,休日診療所,キュウジツシンリョウジョ,,,,富田林市向陽台一丁目3-38,大阪府,富田林市,向陽台一丁目,3-38,,34.503865,135.5827978,,,施設内,0721-28-1333,,,,,,,,日,09:00,16:00,日曜・祝日・年末年始（12月29日～1月3日）が利用可能。※開院時には医師が常駐。,有,,,,,,,
272141,0000100023,大阪府富田林市,総合スポーツ公園,ソウゴウスポーツコウエン,,,,富田林市佐備2467-1,大阪府,富田林市,佐備,2467-1,,34.456072,135.611571,,,多目的競技場事務所前,0721-35-2121,,,,,,,,,,,年末年始（12/29～1/4）は利用不可,無,,,,,,,
272141,0000100024,大阪府富田林市,富田林斎場,トンダバヤシサイジョウ,,,,富田林市佐備2594-15,大阪府,富田林市,佐備,2594-15,,34.458165,135.61179,,,事務所内,0721-33-6200,,,,,,,,,,,,,,,,,,,
272141,0000100025,大阪府富田林市,観光交流施設きらめきファクトリー,カンコウコウリュウシセツキラメキファクトリー,,,,富田林市本町19-8,大阪府,富田林市,本町,19-8,,34.50391,135.60107,,,1Ｆ受付内の棚,0721-24-5500,,,,,,,,,,,休日は12/29～1/3,,www.tonkira.jp,,,,,,
272141,0000100027,大阪府富田林市,若松老人いこいの家,ワカマツロウジンイコイノイエ,,,,富田林市若松町一丁目18-22,大阪府,富田林市,若松町一丁目,18-22,,34.502772,135.604961,,,1階事務所内,0721-25-2996,,,,,,,,,,,日曜・祝日・年末年始（12月29日～1月3日）は利用不可。,有,,,,,,,
272141,0000100028,大阪府富田林市,錦織老人いこいの家,ニシコオリロウジンイコイノイエ,,,,富田林市錦織中一丁目18-21,大阪府,富田林市,錦織中一丁目,18-21,,34.481196,135.584867,,,玄関ホール,0721-24-9934,,,,,,,,,,,月曜・祝日・年末年始（12月29日～1月3日）は利用不可。,有,,,,,,,
272141,0000100029,大阪府富田林市,東条老人いこいの家,トウジョウロウジンイコイノイエ,,,,富田林市龍泉594-2,大阪府,富田林市,龍泉,594-2,,34.464092,135.601323,,,玄関ホール,0721-33-3572,,,,,,,,,,,月曜・祝日・年末年始（12月29日～1月3日）は利用不可。,有,,,,,,,
272141,0000100030,大阪府富田林市,金剛老人いこいの家,コンゴウロウジンイコイノイエ,,,,富田林市久野喜台二丁目3-26,大阪府,富田林市,久野喜台二丁目,3-26,,34.497667,135.565584,,,玄関ホール,0721-29-3308,,,,,,,,,,,年末年始（12月29日～1月3日）は利用不可。,有,,,,,,,
272141,0000100031,大阪府富田林市,金剛東老人いこいの家,コンゴウヒガシロウジンイコイノイエ,,,,富田林市藤沢台三丁目5-1,大阪府,富田林市,藤沢台三丁目,5-1,,34.505208,135.568715,,,玄関ホール,0721-28-1570,,,,,,,,,,,日曜・祝日・年末年始（12月29日～1月3日）は利用不可。,有,,,,,,,
272141,0000100032,大阪府富田林市,西板持老人いこいの家,ニシイタモチロウジンイコイノイエ,,,,富田林市西板持町三丁目10-18,大阪府,富田林市,西板持町三丁目,10-18,,34.49074,135.603862,,,玄関ホール,0721-34-0550,,,,,,,,,,,月曜・祝日・年末年始（12月29日～1月3日）は利用不可。,有,,,,,,,
272141,0000100033,大阪府富田林市,青葉地区老人いこいの家,アオバチクロウジンイコイノイエ,,,,富田林市加太二丁目8-10,大阪府,富田林市,加太二丁目,8-10,,34.506733,135.562167,,,玄関ホール,072-365-1470,,,,,,,,,,,金曜・祝日・年末年始（12月29日～1月4日）は利用不可。,有,,,,,,,
272141,0000100034,大阪府富田林市,高辺プラザ,タカベプラザ,,,,富田林市高辺台三丁目1-1,大阪府,富田林市,高辺台三丁目,1-1,,34.499121,135.569271,,,2階入口,0721-29-1472,,,,,,,,,,,日曜・祝日・年末年始（12月29日～1月3日）は利用不可。,有,,,,,,,
272141,0000100035,大阪府富田林市,市立向陽台集会所,シリツコウヨウダイシュウカイショ,,,,富田林市向陽台三丁目3-14,大阪府,富田林市,向陽台三丁目,3-14,,34.504485,135.580088,,,玄関ホール公衆電話付近,0721-29-1385,,,,,,,,,,,管理の一部（鍵の貸出等）は、集会所管理委員会に委託,,,,,,,,
272141,0000100036,大阪府富田林市,市立明治池集会所,シリツメイジイケシュウカイショ,,,,富田林市小金台四丁目15-27,大阪府,富田林市,小金台四丁目,15-27,,34.495122,135.579979,,,玄関ホワイトボード付近,0721-28-8390,,,,,,,,,,,管理の一部（鍵の貸出等）は、集会所管理委員会に委託,,,,,,,,
272141,0000100037,大阪府富田林市,市立藤沢台集会所,シリツフジサワダイシュウカイショ,,,,富田林市藤沢台三丁目5-1,大阪府,富田林市,藤沢台三丁目,5-1,,34.505209,135.568729,,,2階玄関,0721-28-1545,,,,,,,,,,,管理の一部（鍵の貸出等）は、集会所管理委員会に委託,,,,,,,,
272141,0000100038,大阪府富田林市,富田林保育園,トンダバヤシホイクエン,,,,富田林市富田林町14-27,大阪府,富田林市,富田林町,14-27,,34.499754,135.602118,,,2歳児の保育室の入り口付近,0721-23-3941,,,,,,,,,,,,,,,,,,,
272141,0000100039,大阪府富田林市,彼方保育園,オチカタホイクエン,,,,富田林市大字彼方37,大阪府,富田林市,大字彼方,37,,34.476317,135.58738,,,事務所、左の廊下に設置,0721-33-3943,,,,,,,,,,,,,,,,,,,
272141,0000100040,大阪府富田林市,大伴保育園,オオトモホイクエン,,,,富田林市北大伴町二丁目12-4,大阪府,富田林市,北大伴町二丁目,12-4,,34.503512,135.618969,,,事務所内,0721-23-6579,,,,,,,,,,,,,,,,,,,
272141,0000100041,大阪府富田林市,若葉保育園,ワカバホイクエン,,,,富田林市若松町三丁目2-20,大阪府,富田林市,若松町三丁目,2-20,,34.505063,135.607952,,,1歳児クラス前の内側廊下,0721-24-3308,,,,,,,,,,,,,,,,,,,
272141,0000100042,大阪府富田林市,金剛保育園,コンゴウホイクエン,,,,富田林市寺池台一丁目9-9,大阪府,富田林市,寺池台一丁目,9-9,,34.49488,135.566972,,,トイレと休憩室の廊下の角,0721-29-1474,,,,,,,,,,,,,,,,,,,
272141,0000100043,大阪府富田林市,金剛東保育園,コンゴウヒガシホイクエン,,,,富田林市藤沢台一丁目4-4,大阪府,富田林市,藤沢台一丁目,4-4,,34.505202,135.575936,,,事務所横,0721-29-1600,,,,,,,,,,,,,,,,,,,
272141,0000100044,大阪府富田林市,富田林幼稚園,トンダバヤシヨウチエン,,,,富田林市常盤町15-1,大阪府,富田林市,常盤町,15-1,,34.499231,135.599131,,,管理遊戯室棟遊戯室内,0721-24-3301,,,,,,,,,,,,無,,,,,,,
272141,0000100045,大阪府富田林市,新堂幼稚園,シンドウヨウチエン,,,,富田林市若松町四丁目7-1,大阪府,富田林市,若松町四丁目,7-1,,34.509086,135.608261,,,管理保育室棟玄関,0721-24-3302,,,,,,,,,,,,無,,,,,,,
272141,0000100046,大阪府富田林市,喜志幼稚園,キシヨウチエン,,,,富田林市木戸山町1-36,大阪府,富田林市,木戸山町,1-36,,34.524783,135.611766,,,管理保育室棟職員室内,0721-24-3303,,,,,,,,,,,,無,,,,,,,
272141,0000100047,大阪府富田林市,大伴幼稚園,オオトモヨウチエン,,,,富田林市南大伴町一丁目2-5,大阪府,富田林市,南大伴町一丁目,2-5,,34.497707,135.61623,,,管理保育室棟職員室内,0721-24-3304,,,,,,,,,,,,無,,,,,,,
272141,0000100048,大阪府富田林市,彼方幼稚園,オチカタヨウチエン,,,,富田林市大字彼方325-1,大阪府,富田林市,大字彼方,325-1,,34.479409,135.591081,,,管理保育室棟職員室前,0721-35-1191,,,,,,,,,,,,無,,,,,,,
272141,0000100049,大阪府富田林市,錦郡幼稚園,ニシコオリヨウチエン,,,,富田林市錦織南一丁目2-10,大阪府,富田林市,錦織南一丁目,2-10,,34.481548,135.582021,,,管理保育室棟ほし組保育室内,0721-24-3306,,,,,,,,,,,,無,,,,,,,
272141,0000100050,大阪府富田林市,川西幼稚園,カワニシヨウチエン,,,,富田林市新家一丁目3-2,大阪府,富田林市,新家一丁目,3-2,,34.493938,135.587038,,,管理保育室棟職員室内,0721-24-3307,,,,,,,,,,,,無,,,,,,,
272141,0000100051,大阪府富田林市,青葉丘幼稚園,アオバオカヨウチエン,,,,富田林市加太二丁目8-14,大阪府,富田林市,加太二丁目,8-14,,34.506948,135.562562,,,管理保育室棟職員室前,072-365-0415,,,,,,,,,,,,無,,,,,,,
272141,0000100052,大阪府富田林市,伏山台幼稚園,フシヤマダイヨウチエン,,,,富田林市伏山二丁目1-2,大阪府,富田林市,伏山二丁目,1-2,,34.488053,135.56399,,,管理保育室棟職員室内,0721-28-4107,,,,,,,,,,,,無,,,,,,,
272141,0000100053,大阪府富田林市,津々山台幼稚園,ツヅヤマダイヨウチエン,,,,富田林市津々山台一丁目20-9,大阪府,富田林市,津々山台一丁目,20-9,,34.497084,135.576314,,,管理遊戯室棟遊戯室内,0721-28-6767,,,,,,,,,,,,無,,,,,,,
272141,0000100054,大阪府富田林市,富田林小学校,トンダバヤシショウガッコウ,,,,富田林市常盤町16-20,大阪府,富田林市,常盤町,16-20,,34.499722,135.598056,,,屋内運動場棟玄関,0721-24-3101,,,,,,,,,,,,無,,,,,,,
272141,0000100055,大阪府富田林市,新堂小学校,シンドウショウガッコウ,,,,富田林市若松町四丁目5-4,大阪府,富田林市,若松町四丁目,5-4,,34.508466,135.608317,,,本館北玄関,0721-24-3102,,,,,,,,,,,,無,,,,,,,
272141,0000100056,大阪府富田林市,喜志小学校,キシショウガッコウ,,,,富田林市木戸山町1-36,大阪府,富田林市,木戸山町,1-36,,34.524444,135.611389,,,管理棟1階玄関(保健室前),0721-24-3103,,,,,,,,,,,,無,,,,,,,
272141,0000100057,大阪府富田林市,大伴小学校,オオトモショウガッコウ,,,,富田林市南大伴町一丁目2-20,大阪府,富田林市,南大伴町一丁目,2-20,,34.4975,135.616944,,,管理棟1階玄関(保健室前),0721-24-3104,,,,,,,,,,,,無,,,,,,,
272141,0000100058,大阪府富田林市,彼方小学校,オチカタショウガッコウ,,,,富田林市大字彼方411,大阪府,富田林市,大字彼方,411,,34.480556,135.590833,,,管理棟1階玄関(職員室前),0721-34-3105,,,,,,,,,,,,無,,,,,,,
272141,0000100059,大阪府富田林市,錦郡小学校,ニシコオリショウガッコウ,,,,富田林市錦織南一丁目8-1,大阪府,富田林市,錦織南一丁目,8-1,,34.479167,135.582222,,,管理棟1階玄関(保健室前),0721-24-3106,,,,,,,,,,,,無,,,,,,,
272141,0000100060,大阪府富田林市,川西小学校,カワニシショウガッコウ,,,,富田林市新家一丁目3-1,大阪府,富田林市,新家一丁目,3-1,,34.493889,135.587778,,,管理棟1階玄関(職員室前),0721-24-3107,,,,,,,,,,,,無,,,,,,,
272141,0000100061,大阪府富田林市,東条小学校,トウジョウショウガッコウ,,,,富田林市大字龍泉566,大阪府,富田林市,大字龍泉,566,,34.465439,135.601083,,,管理棟1階玄関(職員室前),0721-34-3108,,,,,,,,,,,,無,,,,,,,
272141,0000100062,大阪府富田林市,高辺台小学校,タカベダイショウガッコウ,,,,富田林市高辺台三丁目1-1,大阪府,富田林市,高辺台三丁目,1-1,,34.499722,135.569722,,,管理棟1階児童用下足室前,0721-29-1403,,,,,,,,,,,,無,,,,,,,
272141,0000100063,大阪府富田林市,久野喜台小学校,クノキダイショウガッコウ,,,,富田林市久野喜台一丁目16-1,大阪府,富田林市,久野喜台一丁目,16-1,,34.500556,135.563056,,,管理棟1階玄関(職員室前),0721-29-1450,,,,,,,,,,,,有,,,,,,,
272141,0000100064,大阪府富田林市,寺池台小学校,テライケダイショウガッコウ,,,,富田林市寺池台四丁目3-1,大阪府,富田林市,寺池台四丁目,3-1,,34.490657,135.566634,,,管理棟1階職員室内,0721-29-1477,,,,,,,,,,,,無,,,,,,,
272141,0000100065,大阪府富田林市,伏山台小学校,フシヤマダイショウガッコウ,,,,富田林市伏山二丁目1-1,大阪府,富田林市,伏山二丁目,1-1,,34.488611,135.563333,,,管理棟1階給食受入室前,0721-28-4106,,,,,,,,,,,,無,,,,,,,
272141,0000100066,大阪府富田林市,喜志西小学校,キシニシショウガッコウ,,,,富田林市梅の里四丁目6-1,大阪府,富田林市,梅の里四丁目,6-1,,34.526389,135.592778,,,管理棟1階保健室内,0721-25-7380,,,,,,,,,,,,無,,,,,,,
272141,0000100067,大阪府富田林市,藤沢台小学校,フジサワダイショウガッコウ,,,,富田林市藤沢台二丁目3-1,大阪府,富田林市,藤沢台二丁目,3-1,,34.505833,135.573611,,,管理棟1階玄関(職員室前),0721-28-3771,,,,,,,,,,,,無,,,,,,,
272141,0000100068,大阪府富田林市,小金台小学校,コガネダイショウガッコウ,,,,富田林市小金台三丁目11-1,大阪府,富田林市,小金台三丁目,11-1,,34.496682,135.579917,,,管理棟1階職員室内,0721-29-4460,,,,,,,,,,,,無,,,,,,,
272141,0000100069,大阪府富田林市,向陽台小学校,コウヨウダイショウガッコウ,,,,富田林市向陽台五丁目1-1,大阪府,富田林市,向陽台五丁目,1-1,,34.507222,135.581389,,,管理棟1階玄関(保健室前),0721-29-1226,,,,,,,,,,,,無,,,,,,,
272141,0000100070,大阪府富田林市,第一中学校,ダイイチチュウガッコウ,,,,富田林市寿町一丁目3-5,大阪府,富田林市,寿町一丁目,3-5,,34.500687,135.594522,,,管理棟北館事務室前,0721-24-3201,,,,,,,,,,,,無,,,,,,,
272141,0000100071,大阪府富田林市,第二中学校,ダイニチュウガッコウ,,,,富田林市新家一丁目4-1,大阪府,富田林市,新家一丁目,4-1,,34.492778,135.586389,,,管理棟1階玄関(保健室前),0721-24-3202,,,,,,,,,,,,無,,,,,,,
272141,0000100072,大阪府富田林市,第三中学校,ダイサンチュウガッコウ,,,,富田林市大字佐備15,大阪府,富田林市,大字佐備,15,,34.486383,135.6071,,,管理棟1階玄関(技術室前),0721-34-3206,,,,,,,,,,,,無,,,,,,,
272141,0000100073,大阪府富田林市,金剛中学校,コンゴウチュウガッコウ,,,,富田林市寺池台一丁目1-1,大阪府,富田林市,寺池台一丁目,1-1,,34.495771,135.567911,,,管理棟2階玄関(職員室前),0721-29-1404,,,,,,,,,,,,無,,,,,,,
272141,0000100074,大阪府富田林市,葛城中学校,カツラギチュウガッコウ,,,,富田林市藤沢台三丁目4-1,大阪府,富田林市,藤沢台三丁目,4-1,,34.503884,135.569628,,,管理棟1階下足室前,0721-28-3761,,,,,,,,,,,,無,,,,,,,
272141,0000100075,大阪府富田林市,喜志中学校,キシチュウガッコウ,,,,富田林市梅の里一丁目7-1,大阪府,富田林市,梅の里一丁目,7-1,,34.524167,135.598056,,,管理棟1階玄関(下足室前),0721-26-0468,,,,,,,,,,,,無,,,,,,,
272141,0000100076,大阪府富田林市,藤陽中学校,トウヨウチュウガッコウ,,,,富田林市向陽台三丁目4-1,大阪府,富田林市,向陽台三丁目,4-1,,34.505491,135.579444,,,管理棟1階玄関(職員室前),0721-29-3705,,,,,,,,,,,,無,,,,,,,
272141,0000100077,大阪府富田林市,明治池中学校,メイジイケチュウガッコウ,,,,富田林市小金台二丁目11-1,大阪府,富田林市,小金台二丁目,11-1,,34.497222,135.581667,,,管理棟1階保健室内,0721-29-1355,,,,,,,,,,,,無,,,,,,,
272141,0000100078,大阪府富田林市,シルバー人材センター,シルバージンザイセンター,,,,富田林市西板持町四丁目1-7,大阪府,富田林市,西板持町四丁目,1-7,,34.490124,135.597389,,,1階事務所内,0721-33-4567,,,,,,,,,,,土・日・祝及び年末年始（12月29日～1月3日）は利用不可,有,,,,,,,
