全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
272086,0000000030,大阪府貝塚市,津田小学校,ツダショウガッコウ,,0023000,大阪府,貝塚市,津田南町,1-1,,34.452207,135.362205,,,体育館,072-422-0084,,,,,,,,,,,,有,,,,,,,
272086,0000000031,大阪府貝塚市,木島小学校,キシマショウガッコウ,,0049000,大阪府,貝塚市,三ツ松,1048,,34.41141,135.381865,,,体育館,072-446-0032,,,,,,,,,,,,有,,,,,,,
272086,0000000032,大阪府貝塚市,葛城小学校,カツラギショウガッコウ,,0052000,大阪府,貝塚市,木積,2032,,34.397684,135.391884,,,体育館,072-446-0044,,,,,,,,,,,,有,,,,,,,
272086,0000000033,大阪府貝塚市,中央小学校,チュウオウショウガッコウ,,0041000,大阪府,貝塚市,麻生中,854,,34.432068,135.37158,,,体育館,072-428-9165,,,,,,,,,,,,有,,,,,,,
272086,0000000034,大阪府貝塚市,永寿小学校,エイジュショウガッコウ,,0049000,大阪府,貝塚市,三ツ松,2020,,34.404519,135.37906,,,体育館,072-446-1855,,,,,,,,,,,,有,,,,,,,
272086,0000000035,大阪府貝塚市,二色学園,ニシキガクエン,,0016001,大阪府,貝塚市,二色一丁目,3-1,,34.448771,135.34381,,,体育館,072-438-2925,,,,,,,,,,,,有,,,,,,,
272086,0000000036,大阪府貝塚市,東山小学校,ヒガシヤマショウガッコウ,,0008005,大阪府,貝塚市,東山五丁目,11-1,,34.411124,135.390339,,,体育館と運動場の間の通用玄関,072-446-8899,,,,,,,,,,,,有,,,,,,,
272086,0000000037,大阪府貝塚市,第一中学校,ダイイチチュウガッコウ,,0025001,大阪府,貝塚市,加神一丁目,5-1,,34.441625,135.356648,,,体育館,072-422-1527,,,,,,,,,,,,有,,,,,,,
272086,0000000038,大阪府貝塚市,第二中学校,ダイニチュウガッコウ,,0022000,大阪府,貝塚市,福田,100,,34.442364,135.366372,,,体育館,072-422-1532,,,,,,,,,,,,有,,,,,,,
272086,0000000039,大阪府貝塚市,第三中学校,ダイサンチュウガッコウ,,0008007,大阪府,貝塚市,東山七丁目,4-1,,34.408913,135.389625,,,体育館,072-446-1151,,,,,,,,,,,,有,,,,,,,
272086,0000000040,大阪府貝塚市,第四中学校,ダイヨンチュウガッコウ,,0045000,大阪府,貝塚市,橋本,1385,,34.41885,135.363137,,,体育館,072-433-1340,,,,,,,,,,,,有,,,,,,,
272086,0000000041,大阪府貝塚市,第五中学校,ダイゴチュウガッコウ,,0016002,大阪府,貝塚市,二色二丁目,3-1,,34.445952,135.343349,,,体育館,072-439-8872,,,,,,,,,,,,有,,,,,,,
272086,0000000042,大阪府貝塚市,貝塚市役所,カイヅカシヤクショ,,0027001,大阪府,貝塚市,畠中一丁目,17-1,,34.437687,135.358431,,,本館４階福祉センター事務局付近,072-423-2151,,,,,,,,月火水木金,8:45,17:15,年末年始（12月29日～翌年1月3日）と祝日は終日利用不可（日曜開庁日等を除く）,有,,,,,,,
272086,0000000043,大阪府貝塚市,市立ドローン・クリケットフィールド,シリツドローンクリケットフィールド,,0045000,大阪府,貝塚市,橋本,1517,,34.417988,135.365028,,,管理棟,080-8346-8980,,,,,,,,月火水木金土日,9:00,17:00,年末年始（12月29日～翌年1月3日）,有,,,,,,,
272086,0000000044,大阪府貝塚市,市民図書館,シミントショカン,,0027001,大阪府,貝塚市,畠中一丁目,12-1,,34.439022,135.359806,,,カウンター,072-433-7200,,,,,,,,月水木金,0.395833333,0.8125,土日9:30から17:00 年末年始（12月29日～翌年1月3日）と祝日･休日･毎月末日･特別整理期間は終日利用不可。,有,,,,,,,
272086,0000000045,大阪府貝塚市,自然遊学館,シゼンユウガッカン,,0016003,大阪府,貝塚市,二色三丁目,26-1,,34.44494,135.337845,,,事務室,072-431-8457,,,,,,,,月水木金土,0.375,0.708333333,但し4月から10月までの土日は19:30閉館、毎週火曜日は利用不可。火曜日が祝日の場合その翌日を休館日とする。年末年始（12月29日～翌年1月3日）は終日利用不可。,有,,,,,,,
