全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考,市民(外部の方)の使用する条件
332020,49,岡山県倉敷市,倉敷市本荘公民館,クラシキシホンジョウコウミンカン,,332020,,岡山県倉敷市児島塩生1959-3,岡山県,倉敷市,児島塩生,1959-3,,34.476811,133.770903,,,玄関,(086)475-2202,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合、翌日も休館,,,,,,,,児島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,50,岡山県倉敷市,倉敷市琴浦公民館,クラシキシコトウラコウミンカン,,332020,,岡山県倉敷市児島下の町9-2-27,岡山県,倉敷市,児島下の町,9-2-27,,34.475041,133.827418,,,玄関,(086)473-0080,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合、翌日も休館,,,,,,,,児島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,51,岡山県倉敷市,倉敷市唐琴公民館,クラシキシカラコトコウミンカン,,332020,,岡山県倉敷市児島唐琴4-5-20,岡山県,倉敷市,児島唐琴,4-5-20,,34.469342,133.861051,,,玄関,(086)477-7977,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合、翌日も休館,,,,,,,,児島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,52,岡山県倉敷市,倉敷市郷内公民館,クラシキシゴウナイコウミンカン,,332020,,岡山県倉敷市林2008-1,岡山県,倉敷市,林,2008-1,,34.533453,133.814421,,,1階ロビー,(086)485-4164,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合、翌日も休館,,,,,,,,児島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,53,岡山県倉敷市,倉敷市玉島東公民館,クラシキシタマシマヒガシコウミンカン,,332020,,岡山県倉敷市玉島乙島6897-2,岡山県,倉敷市,玉島乙島,6897-2,,34.537097,133.680642,,,玄関,(086)526-7726,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合開館し翌日が休館,,,,,,,,玉島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,54,岡山県倉敷市,倉敷市玉島西公民館,クラシキシタマシマニシコウミンカン,,332020,,岡山県倉敷市玉島柏島7038-6,岡山県,倉敷市,玉島柏島,7038-6,,34.522582,133.663204,,,玄関,(086)528-2713,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,玉島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,55,岡山県倉敷市,倉敷市玉島北公民館,クラシキシタマシマキタコウミンカン,,332020,,岡山県倉敷市玉島八島1773-10,岡山県,倉敷市,玉島八島,1773-10,,34.561220,133.656215,,,玄関,(086)526-5315,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,玉島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,56,岡山県倉敷市,倉敷市玉島黒崎公民館,クラシキシタマシマクロサキコウミンカン,,332020,,岡山県倉敷市玉島黒崎5549-6,岡山県,倉敷市,玉島黒崎,5549-6,,34.503128,133.638065,,,玄関,(086)528-3143,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,玉島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,57,岡山県倉敷市,倉敷市船穂公民館,クラシキシフナオコウミンカン,,332020,,岡山県倉敷市船穂町船穂1697,岡山県,倉敷市,船穂町船穂,1697,,34.584525,133.708685,,,1階ロビー,(086)552-2600,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,船穂地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,58,岡山県倉敷市,倉敷市真備公民館,クラシキシマビコウミンカン,,332020,,岡山県倉敷市真備町箭田1685,岡山県,倉敷市,真備町箭田,1685,,34.632002,133.689129,,,1階ロビー,(086)698-0042,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,真備地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,59,岡山県倉敷市,倉敷市児島公民館赤崎分館,クラシキシコジマコウミンカンアカサキブンカン,,332020,,岡山県倉敷市児島赤崎2-8-2,岡山県,倉敷市,児島赤崎,2-8-2,,34.456698,133.798225,,,玄関,(086)472-9009,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合、翌日も休館,,,,,,,,児島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,60,岡山県倉敷市,倉敷市児島公民館大畠分館,クラシキシコジマコウミンカンオバタケブンカン,,332020,,岡山県倉敷市大畠1-1-34,岡山県,倉敷市,大畠,1-1-34,,34.443465,133.810225,,,玄関,,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合、翌日も休館,,,,,,,,児島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,61,岡山県倉敷市,倉敷市玉島公民館長尾分館,クラシキシコジマコウミンカンナガオブンカン,,332020,,岡山県倉敷市玉島長尾2617-3,岡山県,倉敷市,玉島長尾,2617-3,,34.568994,133.682384,,,玄関,(086)526-8458,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,玉島地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,65,岡山県倉敷市,倉敷市真備公民館薗分館,クラシキシマビコウミンカンソノブンカン,,332020,,岡山県倉敷市真備町市場4358,岡山県,倉敷市,真備町市場,4358,,34.647241,133.693414,,,玄関,(086)698-0042,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,真備地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,66,岡山県倉敷市,倉敷市真備公民館二万分館,クラシキシマビコウミンカンニマンブンカン,,332020,,岡山県倉敷市真備町上二万392-1,岡山県,倉敷市,真備町上二万,392-1,,34.607306,133.706530,,,玄関,(086)698-0042,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,真備地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,67,岡山県倉敷市,倉敷市真備公民館箭田分館,クラシキシマビコウミンカンヤタブンカン,,332020,,岡山県倉敷市真備町箭田1684,岡山県,倉敷市,真備町箭田,1684,,34.631830,133.689009,,,玄関,(086)698-0042,,,,,,,,,,,年末年始12月28日〜1月4日休館日;月曜日が祝日の場合翌日も休館,,,,,,,,真備地区,使用希望時間帯が開館時間帯と重なる場合のみ使用可
332020,71,岡山県倉敷市,養護老人ホーム　倉敷市長楽荘,ヨウゴロウジンホーム　クラシキシチョウラクソウ,,332020,,岡山県倉敷市玉島長尾2953,岡山県,倉敷市,玉島長尾,2953,,34.569011,133.677282,,,1階事務室,(086)522-1110,,,,,,,,月火水木金土日,00:00,24:00,365日24時間使用可,,,,,,,,玉島地区,
332020,72,岡山県倉敷市,倉敷市倉敷北高齢者福祉センター,クラシキシクラシキキタコウレイシャフクシセンター,,332020,,岡山県倉敷市宮前92-1,岡山県,倉敷市,宮前,92-1,,34.610671,133.764995,,,玄関ロビー,(086)423-2265,,,,,,,,,,,年末年始12月29日から1月3日まで休業,,,,,,,,倉敷地区,
332020,73,岡山県倉敷市,倉敷市船穂町高齢者福祉センター,クラシキシフナオチョウコウレイシャフクシセンター,,332020,,岡山県倉敷市船穂町船穂1861-1,岡山県,倉敷市,船穂町船穂,1861-1,,34.582059,133.697292,,,玄関ロビー,(086)552-5200,,,,,,,,,,,年末年始12月29日から1月3日まで休業,,,,,,,,船穂地区,
332020,74,岡山県倉敷市,倉敷市まきび荘,クラシキシマキビソウ,,332020,,岡山県倉敷市真備町市場4661,岡山県,倉敷市,真備町市場,4661,,34.646195,133.700290,,,事務室,(086)698-6151,,,,,,,,,,,年末年始12月29日から1月3日まで休業,,,,,,,,真備地区,
332020,75,岡山県倉敷市,倉敷市障がい者福祉センター,クラシキシショウガイシャフクシセンター,,332020,,岡山県倉敷市船倉町1273-5,岡山県,倉敷市,船倉町,1273-5,,34.591642,133.772805,,,3階事務所前,(086)422-1349,,,,,,,,,,,年末年始12月29日から1月3日まで休業;月曜日が祝日の場合、次の平日が休業日,,,,,,,,倉敷地区,
332020,76,岡山県倉敷市,倉敷市児島障がい者支援センター,クラシキシコジマショウガイシャシエンセンター,,332020,,岡山県倉敷市児島駅前4-83-2,岡山県,倉敷市,児島駅前,4-83-2,,34.461787,133.803425,,,事務所内,(086)472-3855,,,,,,,,,,,年末年始12月29日から1月3日まで休業,,,,,,,,児島地区,
332020,77,岡山県倉敷市,倉敷市玉島障がい者支援センター,クラシキシタマシマショウガイシャシエンセンター,,332020,,岡山県倉敷市玉島阿賀崎2-1-10,岡山県,倉敷市,玉島阿賀崎,2-1-10,,34.547711,133.672196,,,事務所内,(086)525-7867,,,,,,,,,,,年末年始12月29日から1月3日まで休業,,,,,,,,玉島地区,
332020,78,岡山県倉敷市,倉敷運動公園（管理事務所）,クラシキウンドウコウエン（カンリジムショ）,,332020,,岡山県倉敷市四十瀬4,岡山県,倉敷市,四十瀬,4,,34.589099,133.745351,,,野球場内管理事務所,(086)425-0856,,,,,,,,,,,年末年始12月29日から1月3日まで休業,,,,,,,,倉敷地区,
332020,79,岡山県倉敷市,中山公園（事務所）,ナカヤマコウエン（ジムショ）,,332020,,岡山県倉敷市児島小川町2831,岡山県,倉敷市,児島小川町,2831,,34.480678,133.810406,,,体育館内管理事務所,(086)472-6060,,,,,,,,,,,年末年始12月31日から1月3日まで休業,,,,,,,,児島地区,
332020,80,岡山県倉敷市,児島武道館,コジマブドウカン,,332020,,岡山県倉敷市児島小川2-1-10,岡山県,倉敷市,児島小川,2-1-10,,34.470621,133.809340,,,武道館事務所,(086)473-6000,,,,,,,,,,,年末年始12月28日から1月4日まで休業,,,,,,,,児島地区,
332020,81,岡山県倉敷市,玉島の森管理事務所（プール管理事務所内）,タマシマノモリカンリジムショ（プールカンリジムショナイ）,,332020,,岡山県倉敷市玉島乙島8255-1,岡山県,倉敷市,玉島乙島,8255-1,,34.517783,133.679718,,,水泳場内管理事務所,(086)526-5369,,,,,,,,,,,年末年始12月31日から1月3日まで休業,,,,,,,,玉島地区,
332020,82,岡山県倉敷市,玉島武道館,タマシマブドウカン,,332020,,岡山県倉敷市玉島阿賀崎1-10-1,岡山県,倉敷市,玉島阿賀崎,1-10-1,,34.551200,133.676729,,,体育棟入口フロアー階段横,(086)526-1400,,,,,,,,,,,年末年始12月29日から1月3日まで休業;5月・8月・11月・2月の第4月曜日休業(祝日時は翌日),,,,,,,,玉島地区,
332020,83,岡山県倉敷市,水島緑地福田公園（管理事務所）,ミズシマリョクチフクダコウエン（カンリジムショ）,,332020,,岡山県倉敷市福田町古新田1027,岡山県,倉敷市,福田町古新田,1027,,34.530229,133.767632,,,公園管理事務所,(086)455-1078,,,,,,,,,,,年末年始（12月31日から1月3日まで）休業,,,,,,,,水島地区,
